,distance fire to element [m],heat release [MJ],temperature fire [K]
262,28.319999999999993,883224000000.0002,621.2699523230533
263,28.680000000000007,864432000000.0002,613.8867249403395
264,29.039999999999992,845640000000.0001,606.6037729359236
265,29.400000000000006,826848000000.0001,599.4167132632172
266,29.75999999999999,808056000000.0004,592.3212938234087
267,30.120000000000005,789264000000.0002,585.3133814996575
268,30.480000000000018,770472000000.0002,578.3889505103925
269,30.840000000000003,751680000000.0001,571.5440709951506
270,31.19999999999999,732888000000.0001,564.7748977443451
271,31.560000000000002,714096000000.0004,558.0776589807137
272,31.920000000000016,695304000000.0001,551.4486450947115
273,32.28,676512000000.0001,544.8841972285331
274,32.639999999999986,657720000000.0001,538.38069559335
275,33.0,638928000000.0001,531.9345473912709
276,33.360000000000014,620136000000.0002,525.5421741967883
277,33.72,601344000000.0004,519.1999986312434
278,34.079999999999984,582552000000.0004,512.9044301370149
279,34.44,563760000000.0001,506.651849624241
280,34.80000000000001,544968000000.0001,500.4385927200294
281,35.16,526176000000.00037,494.26093129572797
282,35.51999999999998,507384000000.0002,488.11505287851696
283,35.879999999999995,488592000000.0002,481.9970374647194
284,36.24000000000001,469800000000.0001,475.9028311375097
285,36.599999999999994,451008000000.0002,469.8282157424632
286,36.96000000000001,432216000000.0002,463.768773678507
287,37.31999999999999,413424000000.00024,457.719846602227
288,37.68000000000001,394632000000.00024,451.6764864957156
289,38.04000000000002,375840000000.0003,445.63339707675146
290,38.400000000000006,357048000000.0,439.58486288283507
291,38.75999999999999,338256000000.00006,433.52466245916145
292,39.120000000000005,319464000000.0001,427.44596080541555
293,39.48000000000002,300672000000.0002,421.341174401026
294,39.84,281880000000.0002,415.2017994362478
295,40.19999999999999,263088000000.00046,409.01818984194097
296,40.56,244296000000.0002,402.77926551881694
297,40.920000000000016,225504000000.00024,396.47212140353747
298,41.28,206712000000.00027,390.08149213448837
299,41.639999999999986,187920000000.00058,383.58900034174565
300,42.0,169128000000.0006,376.97206966259176
301,42.360000000000014,150336000000.00064,370.2022971597763
302,42.72,131544000000.00038,363.24291115502166
303,43.079999999999984,112752000000.00041,356.044587194878
304,43.44,93960000000.00044,348.5380861462018
305,43.80000000000001,75168000000.00047,340.6201008502755
306,44.16,56376000000.00049,332.1224486798615
307,44.51999999999998,37584000000.00024,322.7309960757614
308,44.879999999999995,18792000000.000256,311.6850744582561
309,45.0,0.0002842170943040401,293.15000001131546
310,45.0,0.0,293.15
311,45.0,0.0,293.15
312,45.0,0.0,293.15
313,45.0,0.0,293.15
314,45.0,0.0,293.15
315,45.0,0.0,293.15
316,45.0,0.0,293.15
317,45.0,0.0,293.15
318,45.0,0.0,293.15
319,45.0,0.0,293.15
320,45.0,0.0,293.15
321,45.0,0.0,293.15
322,45.0,0.0,293.15
323,45.0,0.0,293.15
324,45.0,0.0,293.15
325,45.0,0.0,293.15
326,45.0,0.0,293.15
327,45.0,0.0,293.15
328,45.0,0.0,293.15
329,45.0,0.0,293.15
330,45.0,0.0,293.15
331,45.0,0.0,293.15
332,45.0,0.0,293.15
333,45.0,0.0,293.15
334,45.0,0.0,293.15
335,45.0,0.0,293.15
336,45.0,0.0,293.15
337,45.0,0.0,293.15
338,45.0,0.0,293.15
339,45.0,0.0,293.15
340,45.0,0.0,293.15
341,45.0,0.0,293.15
342,45.0,0.0,293.15
343,45.0,0.0,293.15
344,45.0,0.0,293.15
345,45.0,0.0,293.15
346,45.0,0.0,293.15
347,45.0,0.0,293.15
348,45.0,0.0,293.15
349,45.0,0.0,293.15
350,45.0,0.0,293.15
351,45.0,0.0,293.15
352,45.0,0.0,293.15
353,45.0,0.0,293.15
354,45.0,0.0,293.15
355,45.0,0.0,293.15
356,45.0,0.0,293.15
357,45.0,0.0,293.15
358,45.0,0.0,293.15
359,45.0,0.0,293.15
360,45.0,0.0,293.15
361,45.0,0.0,293.15
362,45.0,0.0,293.15
363,45.0,0.0,293.15
364,45.0,0.0,293.15
365,45.0,0.0,293.15
366,45.0,0.0,293.15
367,45.0,0.0,293.15
368,45.0,0.0,293.15
